Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
294;Métro;FALGUIERE;881763;12;;;;;Paris;15
264;Métro;FELIX FAURE;1744774;8;;;;;Paris;15
274;Métro;FILLES DU CALVAIRE;1606192;8;;;;;Paris;3
19;Métro;FRANKLIN-D.ROOSEVELT;9545487;1;9;;;;Paris;8
194;Métro;GAITE;2713799;13;;;;;Paris;14
45;Métro;GAMBETTA;6798910;3;3bis;;;;Paris;20
16;Métro;AUSTERLITZ;9887549;5;10;;;;Paris;13
5;Métro;GARE DE L'EST;22443106;4;5;7;;;Paris;10
3;Métro;GARE DE LYON;36512570;1;14;A;;;Paris;12
1;Métro;GARE DU NORD;51141374;4;5;;;;Paris;10
46;Métro;GEORGE V;6643262;1;;;;;Paris;8
96;Métro;GLACIERE;4498939;6;;;;;Paris;13
235;Métro;GONCOURT (HOPITAL SAINT-LOUIS);2192190;11;;;;;Paris;11
44;Métro;GRANDS BOULEVARDS (RUE MONTMARTRE);6807424;8;9;;;;Paris;9
118;Métro;GUY MOQUET;4004960;13;;;;;Paris;17
25;Métro;HAVRE-CAUMARTIN;8277127;3;9;;;;Paris;9
11;Métro;HOTEL DE VILLE;12307363;1;11;;;;Paris;4
197;Métro;IENA;2646049;9;;;;;Paris;16
47;Métro;INVALIDES;6540934;8;13;;;;Paris;7
210;Métro;JACQUES BONSERGENT;2477876;5;;;;;Paris;10
250;Métro;JASMIN;1935764;9;;;;;Paris;16
64;Métro;JAURES;5836196;2;5;7bis;;;Paris;19
178;Métro;JAVEL;2969444;10;;;;;Paris;15
172;Métro;JOURDAIN;3029314;11;;;;;Paris;20
113;Métro;JULES JOFFRIN;4034229;12;;;;;Paris;18
105;Métro;JUSSIEU;4328012;7;10;;;;Paris;5
285;Métro;KLEBER;1253324;6;;;;;Paris;16
48;Métro;LA CHAPELLE;6534340;2;;;;;Paris;9
204;Métro;LA FOURCHE;2563103;13;;;;;Paris;8
30;Métro;LA MOTTE-PICQUET-GRENELLE;7958383;6;8;10;;;Paris;15
119;Métro;LA MUETTE;3991922;9;;;;;Paris;16
237;Métro;LA TOUR MAUBOURG;2139593;8;;;;;Paris;7
195;Métro;LAMARCK-CAULAINCOURT;2704202;12;;;;;Paris;18
106;Métro;LAUMIERE;4325317;5;;;;;Paris;19
212;Métro;LE PELETIER;2451509;7;;;;;Paris;9
130;Métro;LEDRU-ROLLIN;3777270;8;;;;;Paris;12
150;Métro;LES GOBELINS;3377372;7;;;;;Paris;13
9;Métro;LES HALLES;16069170;4;;;;;Paris;1
272;Métro;LIEGE;1662452;13;;;;;Paris;8
229;Métro;LOUIS BLANC;2272326;7;7bis;;;;Paris;10
227;Métro;LOURMEL;2301922;8;;;;;Paris;15
198;Métro;LOUVRE-RIVOLI;2633369;1;;;;;Paris;1
257;Métro;MABILLON;1859872;10;;;;;Paris;6
23;Métro;MADELEINE;8473016;8;12;14;;;Paris;8
259;Métro;MAISON BLANCHE;1803381;7;;;;;Paris;13
215;Métro;MALESHERBES;2406916;3;;;;;Paris;17
200;Métro;MARAICHERS;2608017;9;;;;;Paris;20
61;Métro;MARCADET-POISSONNIERS;5973655;4;12;;;;Paris;18
151;Métro;MARX DORMOY;3359946;12;;;;;Paris;18
234;Métro;MAUBERT-MUTUALITE;2226690;10;;;;;Paris;5
120;Métro;MENILMONTANT;3943809;2;;;;;Paris;11
252;Métro;MICHEL BIZOT;1906545;8;;;;;Paris;12
244;Métro;MICHEL-ANGE-AUTEUIL;2042174;9;10;;;;Paris;16
232;Métro;MICHEL-ANGE-MOLITOR;2247014;9;10;;;;Paris;16
282;Métro;MIRABEAU;1377611;10;;;;;Paris;16
62;Métro;MIROMESNIL;5908201;9;13;;;;Paris;8
269;Métro;MONCEAU;1672269;2;;;;;Paris;17
275;Métro;MONTGALLET;1596702;8;;;;;Paris;12
4;Métro;MONTPARNASSE;29857740;4;6;12;13;;Paris;14
276;Métro;MOUTON-DUVERNET;1583761;4;;;;;Paris;14
22;Métro;NATION;8834660;1;2;6;9;;Paris;12
209;Métro;NATIONALE;2497964;6;;;;;Paris;13
187;Métro;NOTRE-DAME-DE-LORETTE;2833104;12;;;;;Paris;9
242;Métro;NOTRE-DAME-DES-CHAMPS;2051828;12;;;;;Paris;6
102;Métro;OBERKAMPF;4416955;5;9;;;;Paris;11
70;Métro;ODEON;5600764;4;10;;;;Paris;6
31;Métro;OLYMPIADES;7912359;14;;;;;Paris;13
15;Métro;OPERA;10501357;3;7;8;;;Paris;9
131;Métro;OURCQ;3763663;5;;;;;Paris;19
18;Métro;PALAIS ROYAL-MUSEE DU LOUVRE;9592920;1;7;;;;Paris;1
164;Métro;PARMENTIER;3103492;3;;;;;Paris;11
161;Métro;PASSY;3187985;6;;;;;Paris;16
98;Métro;PASTEUR;4493457;6;12;;;;Paris;9
302;Métro;PELLEPORT;329597;3bis;;;;;Paris;20
90;Métro;PERE LACHAISE;4724592;2;3;;;;Paris;20
100;Métro;PEREIRE-LEVALLOIS;4446732;3;;;;;Paris;17
168;Métro;PERNETY;3050541;13;;;;;Paris;14
262;Métro;PHILIPPE AUGUSTE;1763562;2;;;;;Paris;11
284;Métro;PICPUS;1302314;6;;;;;Paris;12
71;Métro;PIGALLE;5599495;2;12;;;;Paris;18
28;Métro;PLACE DE CLICHY;8020440;2;13;;;;Paris;17
14;Métro;PLACE D'ITALIE;10577276;5;6;7;;;Paris;13
182;Métro;PLACE DES FETES;2921564;7bis;11;;;;Paris;19
189;Métro;PLACE MONGE (JARDIN DES PLANTES);2828772;7;;;;;Paris;6
87;Métro;PLAISANCE;4784211;13;;;;;Paris;14
139;Métro;POISSONNIERE;3466034;7;;;;;Paris;10
266;Métro;PONT-MARIE (CITE DES ARTS);1733641;7;;;;;Paris;4
277;Métro;PONT-NEUF (LA MONNAIE);1546517;7;;;;;Paris;4
297;Métro;PORTE D'AUTEUIL;622094;10;;;;;Paris;16
219;Métro;PORTE D'ITALIE;2363639;7;;;;;Paris;13
253;Métro;PORTE D'IVRY;1901960;7;;;;;Paris;13
56;Métro;PORTE D'ORLEANS;6259225;4;;;;;Paris;14
180;Métro;PORTE DAUPHINE;2932159;2;;;;;Paris;16
115;Métro;PORTE DE BAGNOLET;4020800;3;;;;;Paris;20
159;Métro;PORTE DE CHAMPERRET;3189251;3;;;;;Paris;17
239;Métro;PORTE DE CHARENTON;2105924;8;;;;;Paris;12
201;Métro;PORTE DE CHOISY;2598026;7;;;;;Paris;13
97;Métro;PORTE DE CLICHY;4495978;13;;;;;Paris;17
24;Métro;PORTE DE CLIGNANCOURT;8393535;4;;;;;Paris;18
217;Métro;PORTE DE LA CHAPELLE;2379751;12;;;;;Paris;18
110;Métro;PORTE DE LA VILLETTE;4159555;7;;;;;Paris;19
104;Métro;PORTE DE MONTREUIL;4344016;9;;;;;Paris;20
69;Métro;PORTE DE PANTIN;5615256;5;;;;;Paris;19
77;Métro;PORTE DE SAINT-CLOUD;5174694;9;;;;;Paris;16
132;Métro;PORTE DE SAINT-OUEN;3761155;13;;;;;Paris;17
92;Métro;PORTE DE VANVES;4660158;13;;;;;Paris;14
65;Métro;PORTE DE VERSAILLES;5823995;12;;;;;Paris;15
33;Métro;PORTE DE VINCENNES;7633984;1;;;;;Paris;12
143;Métro;PORTE DES LILAS;3439385;3bis;11;;;;Paris;20
192;Métro;PORTE DOREE;2763236;8;;;;;Paris;12
26;Métro;PORTE MAILLOT;8226552;1;;;;;Paris;16
301;Métro;PRE SAINT-GERVAIS;386948;7bis;;;;;Paris;19
59;Métro;PYRAMIDES;6069724;7;14;;;;Paris;1
183;Métro;PYRENEES;2920049;11;;;;;Paris;20
170;Métro;QUAI DE LA GARE;3033927;6;;;;;Paris;13
289;Métro;QUAI DE LA RAPEE;1155002;5;;;;;Paris;12
246;Métro;QUATRE SEPTEMBRE;1997741;3;;;;;Paris;2
156;Métro;RAMBUTEAU;3219510;11;;;;;Paris;3
223;Métro;RANELAGH;2314539;9;;;;;Paris;16
254;Métro;RASPAIL;1887146;4;6;;;;Paris;14
75;Métro;REAUMUR-SEBASTOPOL;5291106;3;4;;;;Paris;3
288;Métro;RENNES;1181641;12;;;;;Paris;6
7;Métro;REPUBLIQUE;16596521;3;5;8;9;11;Paris;11
52;Métro;REUILLY-DIDEROT;6328040;1;8;;;;Paris;12
214;Métro;RICHARD LENOIR;2422197;5;;;;;Paris;11
81;Métro;RICHELIEU-DROUOT;5014491;8;9;;;;Paris;9
224;Métro;RIQUET;2312581;7;;;;;Paris;19
193;Métro;ROME;2753714;2;;;;;Paris;17
174;Métro;RUE DE LA POMPE (AVENUE GEORGES MANDEL);3004505;9;;;;;Paris;16
202;Métro;RUE DES BOULETS;2583609;9;;;;;Paris;11
226;Métro;RUE DU BAC;2304665;12;;;;;Paris;7
177;Métro;SAINT-AMBROISE;2977955;9;;;;;Paris;11
167;Métro;SAINT-AUGUSTIN;3052723;9;;;;;Paris;8
295;Métro;SAINT-FARGEAU;716699;3bis;;;;;Paris;8
267;Métro;SAINT-FRANCOIS-XAVIER;1701996;13;;;;;Paris;7
290;Métro;SAINT-GEORGES;1135274;12;;;;;Paris;9
126;Métro;SAINT-GERMAIN-DES-PRES;3866889;4;;;;;Paris;6
248;Métro;SAINT-JACQUES;1954772;6;;;;;Paris;13
2;Métro;SAINT-LAZARE;46923920;3;9;12;13;14;Paris;8
238;Métro;SAINT-MARCEL;2131369;5;;;;;Paris;13
181;Métro;SAINT-MAUR;2924501;3;;;;;Paris;11
55;Métro;SAINT-MICHEL;6286034;4;;;;;Paris;5
49;Métro;SAINT-PAUL (LE MARAIS);6502842;1;;;;;Paris;4
160;Métro;SAINT-PHILIPPE-DU-ROULE;3187997;9;;;;;Paris;8
154;Métro;SAINT-PLACIDE;3304968;4;;;;;Paris;6
268;Métro;SAINT-SEBASTIEN FROISSART;1685816;8;;;;;Paris;3
228;Métro;SAINT-SULPICE;2287634;4;;;;;Paris;6
270;Métro;SEGUR;1669348;10;;;;;Paris;15
146;Métro;SENTIER;3420249;3;;;;;Paris;3
80;Métro;SEVRES-BABYLONE;5037509;10;12;;;;Paris;7
247;Métro;SEVRES-LECOURBE;1957206;6;;;;;Paris;15
218;Métro;SIMPLON;2366858;4;;;;;Paris;18
241;Métro;SOLFERINO;2073832;12;;;;;Paris;7
42;Métro;STALINGRAD;6891050;2;5;7;;;Paris;19
20;Métro;STRASBOURG-SAINT-DENIS;9524965;4;8;9;;;Paris;2
280;Métro;SULLY-MORLAND;1502672;7;;;;;Paris;4
258;Métro;TELEGRAPHE;1823734;11;;;;;Paris;20
287;Métro;TEMPLE;1194283;3;;;;;Paris;2
153;Métro;TERNES;3329214;2;;;;;Paris;17
158;Métro;TOLBIAC;3191066;7;;;;;Paris;13
255;Métro;TRINITE-D'ESTIENNE D'ORVES;1876512;12;;;;;Paris;9
21;Métro;TROCADERO;9327124;6;9;;;;Paris;16
199;Métro;TUILERIES;2614837;1;;;;;Paris;1
292;Métro;VANEAU;1028480;10;;;;;Paris;7
286;Métro;VARENNE;1241311;13;;;;;Paris;7
141;Métro;VAUGIRARD (ADOLPHE CHERIOU);3445009;12;;;;;Paris;15
245;Métro;VAVIN;2021987;4;;;;;Paris;14
128;Métro;VICTOR HUGO;3841033;2;;;;;Paris;16
66;Métro;VILLIERS;5667552;2;3;;;;Paris;17
220;Métro;VOLONTAIRES;2362771;12;;;;;Paris;15
84;Métro;VOLTAIRE (LEON BLUM);4975145;9;;;;;Paris;11
216;Métro;WAGRAM;2386255;3;;;;;Paris;17
